name,rank,year,industry,sector,headquarters_state
General Motors Corporation,1,1996,Motor Vehicles & Parts,,MI
Ford Motor Company,2,1996,Motor Vehicles & Parts,,MI
Exxon Corporation,3,1996,Petroleum Refining,,TX
"Wal-Mart Stores, Inc.",4,1996,General Merchandisers,,AR
AT&T Corp.,5,1996,Telecommunications,,NY
International Business Machines Corporation,6,1996,"Computers, Office Equipment",,NY
General Electric Company,7,1996,"Electronics, Electrical Equipment",,CT
Mobil Corporation,8,1996,Petroleum Refining,,VA
Chrysler Corporation,9,1996,Motor Vehicles & Parts,,MI
Philip Morris Companies,10,1996,Tobacco,,NY
Prudential Insurance Company of America,11,1996,"Insurance: Life, Health (Mutual)",,NJ
State Farm Group,12,1996,Insurance: Property and Casualty (Mutual),,IL
"E.I. Du Pont de Nemours and Company, Inc.",13,1996,Chemicals,,DE
"Texaco, Inc.",14,1996,Petroleum Refining,,NY
"Sears, Roebuck & Company",15,1996,General Merchandisers,,IL
Kmart Corporation,16,1996,General Merchandisers,,MI
The Procter & Gamble Company,17,1996,"Soaps, Cosmetics",,OH
Chevron Corporation,18,1996,Petroleum Refining,,CA
Citicorp,19,1996,Commercial Banks,,NY
Hewlett-Packard Company,20,1996,"Computers, Office Equipment",,CA
"PepsiCo, Inc.",21,1996,Food Services,,NY
Metropolitan Life Insurance Co.,22,1996,"Insurance: Life, Health (Mutual)",,NY
Amoco Corporation,23,1996,Petroleum Refining,,IL
"Motorola, Inc.",24,1996,"Electronics, Electrical Equipment",,IL
"American International Group,Inc.",25,1996,Insurance: Property and Casualty (Stock),,NY
"ConAgra, Inc.",26,1996,Food,,NE
The Kroger Company,27,1996,Food & Drug Stores,,OH
Dayton Hudson Corporation,28,1996,General Merchandisers,,MN
Lockheed Martin Corporation,29,1996,Aerospace & Defense,,MD
United Technologies Corporation,30,1996,Aerospace & Defense,,CT
The Allstate Corporation,31,1996,Insurance: Property and Casualty (Stock),,IL
Federal National Mortgage Association,32,1996,Diversified Financials,,DC
"Merrill Lynch & Company, Inc.",33,1996,X Brokerage,,NY
"J.C. Penney Company, Inc.",34,1996,General Merchandisers,,TX
"United Parcel Service of America, Inc.",35,1996,"Mail, Package, and Freight Delivery",,GA
The Dow Chemical Company,36,1996,Chemicals,,MI
BankAmerica Corporation,37,1996,Commercial Banks,,CA
GTE Corporation,38,1996,Telecommunications,,CT
International Paper Company,39,1996,Forest and Paper Products,,NY
The Boeing Company,40,1996,Aerospace & Defense,,WA
Xerox Corporation,41,1996,"Scientific, Photographic and Control Equipment",,CT
Cigna Corporation,42,1996,"Insurance: Life, Health (Stock)",,PA
Johnson & Johnson,43,1996,Pharmaceuticals,,NJ
Loews Corporation,44,1996,Insurance: Property and Casualty (Stock),,NY
American Stores Company,45,1996,Food & Drug Stores,,UT
"Price/Costco, Inc.",46,1996,Specialty Retailers,,WA
USX Corporation,47,1996,Petroleum Refining,,PA
The Coca-Cola Company,48,1996,Beverages,,GA
BellSouth Corporation,49,1996,Telecommunications,,GA
Sara Lee Corporation,50,1996,Food,,IL
Columbia/HCA Healthcare Corp.,51,1996,Health Care,,TN
"Fleming Companies, Inc.",52,1996,Wholesalers,,OK
AMR Corporation,53,1996,Airlines,,TX
Atlantic Richfield Company,54,1996,Petroleum Refining,,CA
"Merck & Co., Inc.",55,1996,Pharmaceuticals,,NJ
The Travelers Group,56,1996,Insurance: Property and Casualty (Stock),,NY
"Supervalu, Inc.",57,1996,Wholesalers,,MN
"Safeway, Inc.",58,1996,Food & Drug Stores,,CA
NationsBank Corporation,59,1996,Commercial Banks,,NC
Intel Corporation,60,1996,"Electronics, Electrical Equipment",,CA
New York Life Insurance Company,61,1996,"Insurance: Life, Health (Mutual)",,NY
Minnesota Mining & Manufacturing Company,62,1996,"Scientific, Photographic and Control Equipment",,MN
"Caterpillar, Inc.",63,1996,Industrial and Farm Equipment,,IL
RJR Nabisco Holdings Corporation,64,1996,Food,,NY
American Express Company,65,1996,Diversified Financials,,NY
"The Home Depot, Inc.",66,1996,Specialty Retailers,,GA
Eastman Kodak Company,67,1996,"Scientific, Photographic and Control Equipment",,NY
MCI Communications Corporation,68,1996,Telecommunications,,DC
morg,69,1996,General Merchandisers,,OH
UAL Corporation,70,1996,Airlines,,IL
Chemical Banking Corporation,71,1996,Commercial Banks,,NY
Compaq Computer Corporation,72,1996,"Computers, Office Equipment",,TX
AlliedSignal Inc.,73,1996,Aerospace & Defense,,NJ
McDonnell Douglas Corporation,74,1996,Aerospace & Defense,,MO
Georgia-Pacific Corporation,75,1996,Forest and Paper Products,,GA
J.P. Morgan & Co. Inc.,76,1996,Commercial Banks,,NY
Digital Equipment Corporation,77,1996,"Computers, Office Equipment",,MA
Kimberly-Clark Corporation,78,1996,Forest and Paper Products,,TX
Bristol-Myers Squibb Company,79,1996,Pharmaceuticals,,NY
Sprint Corporation,80,1996,Telecommunications,,KS
Phillips Petroleum Company,81,1996,Petroleum Refining,,OK
"Lehman Brothers Holdings, Inc.",82,1996,X Brokerage,,NY
Bell Atlantic Corporation,83,1996,Telecommunications,,PA
Ameritech Corporation,84,1996,Telecommunications,,IL
NYNEX Corporation,85,1996,Telecommunications,,NY
American Home Products Corporation,86,1996,Pharmaceuticals,,NJ
McKesson Corporation,87,1996,Wholesalers,,CA
The Goodyear Tire & Rubber Company,88,1996,Rubber and Plastic Products,,OH
"Texas Instruments, Inc.",89,1996,"Electronics, Electrical Equipment",,TX
Rockwell International Corporation,90,1996,"Electronics, Electrical Equipment",,CA
Aetna Life & Casualty Co.,91,1996,"Insurance: Life, Health (Stock)",,CT
Archer Daniels Midland Company,92,1996,Food,,IL
"IBP, Inc.",94,1996,Food,,NE
Alcoa,95,1996,Metals,,PA
SBC Communications Inc.,96,1996,Food & Drug Stores,,ID
"Anheuser-Busch Companies, Inc.",97,1996,Beverages,,MO
"Delta Air Lines, Inc.",98,1996,Airlines,,GA
The May Department Stores Company,99,1996,General Merchandisers,,MO
"ITT Hartford Group, Inc.",100,1996,Insurance: Property and Casualty (Stock),,CT
SYSCO Corporation,101,1996,Wholesalers,,TX
The Walt Disney Company,102,1996,Entertainment,,CA
"Winn-Dixie Stores, Inc.",103,1996,Food & Drug Stores,,FL
Weyerhaeuser Company,104,1996,Forest and Paper Products,,WA
Viacom Inc.,105,1996,Entertainment,,NY
"U S WEST, Inc.",106,1996,Telecommunications,,CO
Raytheon Company,107,1996,"Electronics, Electrical Equipment",,MA
Nationwide Insurance Enterprise,108,1996,"Insurance: Life, Health (Mutual)",,OH
Teachers Insurance & Annuity Association of America,109,1996,"Insurance: Life, Health (Mutual)",,NY
Melville Corporation,110,1996,Specialty Retailers,,NY
Northwestern Mutual Life Insurance Company,111,1996,"Insurance: Life, Health (Mutual)",,WI
Chase Manhattan Corporation,112,1996,Commercial Banks,,NY
"Ashland, Inc.",113,1996,Petroleum Refining,,KY
"Apple Computer, Inc.",114,1996,"Computers, Office Equipment",,CA
"WMX Technologies, Inc.",115,1996,Waste Management,,IL
Morgan Stanley Group Inc.,116,1996,Diversified Financials,,NY
Federal Home Loan Mortgage Corporation,117,1996,Diversified Financials,,VA
First Chicago NBD Corporation,118,1996,Commercial Banks,,IL
First Union Corporation,119,1996,Commercial Banks,,NC
The Principal Mutual Life Insurance Company,120,1996,"Insurance: Life, Health (Mutual)",,IA
CSX Corporation,121,1996,Railroads,,VA
Occidental Petroleum Corporation,122,1996,Chemicals,,CA
Walgreen Co.,123,1996,Food & Drug Stores,,IL
The Coastal Corporation,125,1996,Petroleum Refining,,TX
"TRW, Inc.",126,1996,Motor Vehicles & Parts,,OH
"Pfizer, Inc.",127,1996,Pharmaceuticals,,NY
Emerson Electric Company,128,1996,"Electronics, Electrical Equipment",,MO
Abbott Laboratories,129,1996,Pharmaceuticals,,IL
"Textron, Inc.",130,1996,Aerospace & Defense,,RI
Alco Standard Corp.,131,1996,Wholesalers,,PA
"Baxter International, Inc.",133,1996,"Scientific, Photographic and Control Equipment",,IL
Pacific Gas & Electric Company,134,1996,Utilities: Gas and Electric,,CA
Westinghouse Electric Corporation,135,1996,"Electronics, Electrical Equipment",,PA
"Publix Super Markets, Inc.",136,1996,Food & Drug Stores,,FL
Deere & Company,137,1996,Specialty Retailers,,NJ
Federal Express Corporation,138,1996,"Mail, Package, and Freight Delivery",,TN
Liberty Mutual Insurance Group,139,1996,Insurance: Property and Casualty (Mutual),,MA
Fluor Corporation,140,1996,Engineering & Construction,,CA
Enron Corp.,141,1996,Pipelines,,TX
The Southern Company,142,1996,Utilities: Gas and Electric,,GA
"Northwest Airlines, Inc.",143,1996,Airlines,,MN
Pacific Telesis Group,144,1996,Telecommunications,,CA
